item_id,vertical,flag_type,flag_confidence,audio_signal,visual_signal,text_signal,channel_violation_rate,account_type,reviewer_decision
item_0000,gaming,violence,0.568,0.102,0.741,0.545,0.361,new,escalate
item_0001,cooking,safe,0.614,0.602,0.561,0.716,0.023,verified,allow
item_0002,cooking,safe,0.897,0.006,0.806,0.698,0.647,anonymous,allow
item_0003,music,spam,0.665,0.093,0.097,0.847,0.339,established,remove
item_0004,cooking,misleading,0.977,0.379,0.552,0.829,0.634,anonymous,escalate
item_0005,cooking,misleading,0.522,0.228,0.289,0.08,0.276,established,allow
item_0006,childrens,spam,0.909,0.163,0.355,0.67,0.413,new,allow
item_0007,gaming,violence,0.686,0.99,0.64,0.557,0.141,established,escalate
item_0008,music,copyright,0.697,0.066,0.913,0.567,0.201,verified,remove
item_0009,music,copyright,0.948,0.459,0.265,0.247,0.599,anonymous,remove
item_0010,cooking,misleading,0.696,0.219,0.998,0.51,0.724,anonymous,allow
item_0011,gaming,violence,0.888,0.422,0.064,0.382,0.257,established,remove
item_0012,news,spam,0.556,0.885,0.751,0.769,0.17,verified,remove
item_0013,music,copyright,0.502,0.722,0.72,0.972,0.54,anonymous,escalate
item_0014,childrens,spam,0.749,0.199,0.374,0.162,0.51,new,remove
item_0015,cooking,safe,0.555,0.363,0.985,0.807,0.422,new,allow
item_0016,childrens,spam,0.738,0.069,0.761,0.766,0.021,verified,remove
item_0017,childrens,safe,0.927,0.423,0.212,0.539,0.166,established,allow
item_0018,childrens,misleading,0.754,0.121,0.225,0.338,0.41,new,escalate
item_0019,cooking,spam,0.847,0.059,0.067,0.031,0.102,established,remove
item_0020,music,copyright,0.738,0.539,0.723,0.882,0.17,established,remove
item_0021,cooking,safe,0.593,0.097,0.431,0.424,0.702,anonymous,allow
item_0022,news,misleading,0.857,0.801,0.109,0.192,0.015,verified,allow
item_0023,cooking,safe,0.727,0.874,0.075,0.808,0.546,anonymous,allow
item_0024,cooking,safe,0.954,0.849,0.166,0.486,0.242,verified,allow
item_0025,childrens,safe,0.983,0.265,0.784,0.455,0.195,established,allow
item_0026,news,safe,0.975,0.579,0.542,0.748,0.174,established,allow
item_0027,gaming,violence,0.918,0.157,0.961,0.08,0.626,anonymous,escalate
item_0028,childrens,spam,0.615,0.12,0.89,0.246,0.169,verified,remove
item_0029,cooking,safe,0.786,0.523,0.935,0.204,0.105,verified,allow
item_0030,music,copyright,0.816,0.457,0.929,0.936,0.533,anonymous,escalate
item_0031,gaming,misleading,0.604,0.265,0.933,0.881,0.018,verified,allow
item_0032,childrens,misleading,0.766,0.303,0.984,0.807,0.21,established,escalate
item_0033,cooking,safe,0.551,0.878,0.264,0.89,0.533,new,allow
item_0034,cooking,spam,0.852,0.204,0.634,0.264,0.451,new,allow
item_0035,news,spam,0.906,0.044,0.334,0.131,0.159,verified,remove
item_0036,music,copyright,0.71,0.01,0.075,0.883,0.638,anonymous,remove
item_0037,childrens,spam,0.52,0.365,0.933,0.972,0.207,established,allow
item_0038,gaming,spam,0.673,0.56,0.875,0.974,0.267,established,remove
item_0039,childrens,spam,0.512,0.737,0.332,0.931,0.32,established,remove
item_0040,childrens,misleading,0.519,0.471,0.2,0.918,0.096,verified,escalate
item_0041,music,spam,0.595,0.328,0.864,0.967,0.106,established,remove
item_0042,music,spam,0.913,0.331,0.028,0.877,0.67,anonymous,remove
item_0043,music,copyright,0.792,0.346,0.786,0.436,0.31,new,remove
item_0044,cooking,safe,0.847,0.002,0.926,0.538,0.164,established,allow
item_0045,childrens,misleading,0.951,0.623,0.663,0.125,0.237,verified,escalate
item_0046,music,spam,0.842,0.554,0.192,0.665,0.582,anonymous,remove
item_0047,news,misleading,0.909,0.304,0.21,0.786,0.402,new,allow
item_0048,cooking,misleading,0.605,0.473,0.901,0.796,0.611,anonymous,escalate
item_0049,childrens,spam,0.966,0.235,0.31,0.807,0.323,new,allow
item_0050,childrens,spam,0.8,0.768,0.455,0.886,0.346,established,remove
item_0051,cooking,spam,0.62,0.656,0.006,0.751,0.624,anonymous,remove
item_0052,gaming,misleading,0.841,0.465,0.557,0.917,0.301,established,escalate
item_0053,gaming,misleading,0.984,0.595,0.95,0.891,0.667,anonymous,escalate
item_0054,cooking,safe,0.864,0.475,0.259,0.247,0.724,anonymous,allow
item_0055,music,violence,0.538,0.286,0.272,0.32,0.169,established,escalate
item_0056,cooking,safe,0.84,0.706,0.064,0.408,0.158,established,allow
item_0057,cooking,safe,0.706,0.905,0.584,0.696,0.052,verified,allow
item_0058,cooking,safe,0.646,0.39,0.892,0.836,0.236,verified,allow
item_0059,cooking,spam,0.738,0.389,0.669,0.798,0.168,established,allow
item_0060,childrens,safe,0.79,0.663,0.084,0.429,0.227,verified,allow
item_0061,news,misleading,0.604,0.327,0.761,0.379,0.395,new,escalate
item_0062,news,spam,0.764,1.0,0.35,0.65,0.505,anonymous,remove
item_0063,gaming,violence,0.804,0.239,0.474,0.114,0.31,established,remove
item_0064,childrens,safe,0.582,0.607,0.748,0.115,0.492,new,allow
item_0065,childrens,misleading,0.782,0.908,0.375,0.941,0.232,verified,escalate
item_0066,childrens,spam,0.879,0.85,0.6,0.121,0.125,established,remove
item_0067,cooking,safe,0.534,0.648,0.013,0.42,0.665,anonymous,allow
item_0068,news,misleading,0.906,0.707,0.435,0.734,0.459,new,escalate
item_0069,music,violence,0.79,0.322,0.245,0.935,0.706,anonymous,remove
item_0070,music,violence,0.827,0.336,0.494,0.325,0.642,anonymous,remove
item_0071,news,misleading,0.931,0.701,0.276,0.01,0.385,new,escalate
item_0072,childrens,spam,0.872,0.691,0.646,0.491,0.622,anonymous,remove
item_0073,gaming,violence,0.619,0.664,0.369,0.553,0.201,established,remove
item_0074,music,violence,0.722,0.307,0.231,0.721,0.388,new,escalate
item_0075,music,copyright,0.862,0.276,0.59,0.76,0.148,established,remove
item_0076,cooking,misleading,0.677,0.302,0.708,0.127,0.174,established,escalate
item_0077,gaming,violence,0.562,0.868,0.491,0.873,0.474,new,escalate
item_0078,cooking,misleading,0.59,0.051,0.941,0.478,0.61,anonymous,escalate
item_0079,gaming,misleading,0.836,0.152,0.811,0.949,0.144,verified,escalate
item_0080,gaming,violence,0.887,0.226,0.523,0.451,0.652,anonymous,remove
item_0081,news,spam,0.804,0.61,0.74,0.948,0.576,anonymous,remove
item_0082,childrens,spam,0.585,0.075,0.003,0.451,0.039,verified,allow
item_0083,cooking,safe,0.846,0.703,0.454,0.687,0.058,verified,allow
item_0084,music,copyright,0.817,0.908,0.827,0.071,0.136,verified,escalate
item_0085,childrens,misleading,0.73,0.304,0.403,0.272,0.41,new,allow
item_0086,cooking,safe,0.936,0.735,0.604,0.026,0.15,verified,allow
item_0087,childrens,spam,0.874,0.175,0.519,0.442,0.444,new,remove
item_0088,music,copyright,0.741,0.091,0.348,0.333,0.659,anonymous,remove
item_0089,gaming,violence,0.641,0.945,0.814,0.55,0.673,anonymous,remove
item_0090,news,misleading,0.975,0.404,0.515,0.988,0.381,new,escalate
item_0091,cooking,safe,0.677,0.756,0.625,0.76,0.047,verified,allow
item_0092,childrens,misleading,0.715,0.698,0.121,0.973,0.332,established,allow
item_0093,cooking,spam,0.507,0.408,0.225,0.841,0.178,established,remove
item_0094,gaming,misleading,0.851,0.509,0.273,0.835,0.225,established,escalate
item_0095,news,misleading,0.952,0.508,0.879,0.864,0.196,established,escalate
item_0096,music,violence,0.639,0.299,0.587,0.999,0.505,new,remove
item_0097,news,misleading,0.77,0.543,0.455,0.322,0.586,anonymous,escalate
item_0098,childrens,spam,0.88,0.044,0.745,0.705,0.558,anonymous,remove
item_0099,news,safe,0.518,0.502,0.59,0.87,0.224,established,allow
item_0100,news,misleading,0.571,0.871,0.97,0.075,0.504,anonymous,allow
item_0101,music,spam,0.917,0.852,0.859,0.38,0.662,anonymous,remove
item_0102,music,violence,0.615,0.684,0.287,0.227,0.154,verified,escalate
item_0103,gaming,misleading,0.84,0.903,0.046,0.796,0.111,verified,escalate
item_0104,music,spam,0.76,0.566,0.793,0.17,0.536,anonymous,allow
item_0105,gaming,misleading,0.786,0.232,0.638,0.46,0.224,established,allow
item_0106,gaming,misleading,0.963,0.988,0.299,0.962,0.118,established,escalate
item_0107,music,violence,0.918,0.107,0.381,0.359,0.35,established,remove
item_0108,music,spam,0.777,0.686,0.745,0.049,0.569,anonymous,remove
item_0109,cooking,safe,0.673,0.637,0.621,0.678,0.252,established,allow
item_0110,childrens,spam,0.716,0.58,0.732,0.09,0.077,verified,remove
item_0111,music,spam,0.565,0.539,0.971,0.531,0.544,anonymous,remove
item_0112,music,copyright,0.645,0.87,0.804,0.468,0.742,anonymous,escalate
item_0113,gaming,violence,0.894,0.366,0.791,0.014,0.742,anonymous,remove
item_0114,cooking,safe,0.829,0.585,0.822,0.94,0.468,new,allow
item_0115,gaming,violence,0.962,0.328,0.61,0.648,0.155,verified,remove
item_0116,news,spam,0.522,0.037,0.996,0.116,0.529,anonymous,remove
item_0117,childrens,spam,0.965,0.696,0.54,0.587,0.593,anonymous,allow
item_0118,childrens,safe,0.802,0.939,0.28,0.69,0.208,verified,allow
item_0119,childrens,safe,0.549,0.686,0.544,0.978,0.314,established,allow
item_0120,music,copyright,0.56,0.848,0.455,0.663,0.347,new,escalate
item_0121,cooking,safe,0.562,0.565,0.069,0.765,0.361,new,allow
item_0122,childrens,spam,0.886,0.596,0.277,0.984,0.494,new,remove
item_0123,childrens,misleading,0.513,0.015,0.79,0.238,0.165,verified,escalate
item_0124,music,copyright,0.863,0.526,0.746,0.476,0.313,new,remove
item_0125,music,copyright,0.521,0.783,0.867,0.521,0.336,established,escalate
item_0126,news,misleading,0.709,0.108,0.712,0.444,0.712,anonymous,escalate
item_0127,gaming,spam,0.635,0.633,0.548,0.325,0.116,established,remove
item_0128,cooking,misleading,0.844,0.853,0.651,0.769,0.525,anonymous,escalate
item_0129,childrens,safe,0.905,0.399,0.73,0.313,0.203,established,allow
item_0130,music,spam,0.732,0.091,0.085,0.432,0.272,established,allow
item_0131,music,copyright,0.775,0.33,0.122,0.354,0.147,verified,remove
item_0132,news,misleading,0.783,0.213,0.657,0.224,0.388,new,escalate
item_0133,gaming,spam,0.636,0.226,0.429,0.561,0.329,new,remove
item_0134,cooking,safe,0.634,0.762,0.922,0.351,0.307,new,allow
item_0135,childrens,spam,0.863,0.972,0.092,0.53,0.517,anonymous,remove
item_0136,news,safe,0.653,0.324,0.941,0.596,0.339,new,allow
item_0137,gaming,violence,0.633,0.662,0.486,0.442,0.168,verified,remove
item_0138,music,copyright,0.554,0.678,0.593,0.527,0.086,verified,remove
item_0139,music,copyright,0.527,0.204,0.945,0.767,0.746,anonymous,remove
item_0140,music,spam,0.866,0.176,0.38,0.704,0.002,verified,allow
item_0141,cooking,misleading,0.521,0.019,0.921,0.862,0.715,anonymous,escalate
item_0142,cooking,safe,0.705,0.115,0.021,0.325,0.677,anonymous,allow
item_0143,cooking,safe,0.914,0.243,0.589,0.524,0.322,new,allow
item_0144,news,spam,0.882,0.076,0.633,0.531,0.355,new,remove
item_0145,childrens,misleading,0.572,0.197,0.602,0.76,0.159,established,escalate
item_0146,gaming,violence,0.776,0.579,0.681,0.882,0.616,anonymous,escalate
item_0147,cooking,misleading,0.533,0.442,0.303,0.275,0.338,new,allow
item_0148,gaming,spam,0.721,0.057,0.832,0.077,0.078,verified,remove
item_0149,gaming,misleading,0.897,0.652,0.322,0.476,0.112,verified,escalate
item_0150,childrens,spam,0.91,0.982,0.084,0.646,0.203,verified,allow
item_0151,gaming,violence,0.757,0.61,0.364,0.918,0.748,anonymous,escalate
item_0152,news,safe,0.817,0.066,0.095,0.678,0.197,verified,allow
item_0153,music,spam,0.786,0.141,0.35,0.968,0.183,established,remove
item_0154,news,misleading,0.685,0.792,0.813,0.67,0.077,verified,allow
item_0155,cooking,safe,0.509,0.309,0.951,0.342,0.627,anonymous,allow
item_0156,news,misleading,0.645,0.788,0.508,0.54,0.139,established,escalate
item_0157,cooking,safe,0.803,0.597,0.154,0.181,0.519,new,allow
item_0158,cooking,spam,0.679,0.72,0.97,0.611,0.511,anonymous,remove
item_0159,news,misleading,0.896,0.469,0.835,0.368,0.177,established,allow
item_0160,cooking,safe,0.746,0.419,0.162,0.2,0.495,new,allow
item_0161,cooking,spam,0.928,0.555,0.103,0.846,0.16,verified,allow
item_0162,gaming,spam,0.944,0.147,0.437,0.946,0.168,established,remove
item_0163,childrens,safe,0.694,0.374,0.386,0.082,0.104,verified,allow
item_0164,childrens,spam,0.818,0.791,0.138,0.287,0.21,verified,allow
item_0165,news,misleading,0.503,0.079,0.256,0.835,0.612,anonymous,allow
item_0166,cooking,safe,0.56,0.238,0.639,0.623,0.359,new,allow
item_0167,gaming,violence,0.782,0.719,0.291,0.002,0.158,verified,remove
item_0168,music,copyright,0.827,0.523,0.361,0.953,0.547,anonymous,remove
item_0169,cooking,safe,0.69,0.373,0.747,0.357,0.511,anonymous,allow
item_0170,gaming,spam,0.86,0.333,0.044,0.546,0.193,verified,remove
item_0171,childrens,safe,0.898,0.063,0.776,0.458,0.658,anonymous,allow
item_0172,music,copyright,0.655,0.31,0.398,0.815,0.321,established,remove
item_0173,news,spam,0.922,0.048,0.656,0.273,0.172,established,remove
item_0174,music,violence,0.689,0.974,0.496,0.498,0.724,anonymous,remove
item_0175,cooking,misleading,0.795,0.822,0.545,0.321,0.52,anonymous,escalate
item_0176,gaming,spam,0.795,0.426,0.69,0.352,0.377,new,remove
item_0177,gaming,spam,0.98,0.948,0.075,0.638,0.569,anonymous,remove
item_0178,music,copyright,0.832,0.438,0.126,0.236,0.312,established,remove
item_0179,music,spam,0.833,0.949,0.372,0.763,0.151,verified,allow
item_0180,cooking,spam,0.818,0.25,0.113,0.736,0.4,new,remove
item_0181,news,safe,0.628,0.446,0.996,0.286,0.065,verified,allow
item_0182,news,misleading,0.722,0.899,0.445,0.088,0.313,established,escalate
item_0183,music,spam,0.642,0.3,0.158,0.71,0.137,verified,remove
item_0184,childrens,misleading,0.598,0.139,0.79,0.026,0.13,established,allow
item_0185,cooking,misleading,0.542,0.309,1.0,0.719,0.253,established,escalate
item_0186,cooking,safe,0.655,0.074,0.466,0.517,0.031,verified,allow
item_0187,childrens,spam,0.925,0.831,0.518,0.304,0.626,anonymous,remove
item_0188,childrens,misleading,0.961,0.895,0.846,0.251,0.187,established,allow
item_0189,cooking,misleading,0.546,0.641,0.592,0.581,0.454,new,escalate
item_0190,childrens,misleading,0.514,0.045,0.641,0.577,0.206,verified,allow
item_0191,childrens,safe,0.807,0.29,0.957,0.483,0.125,verified,allow
item_0192,news,spam,0.577,0.416,0.464,0.34,0.172,verified,allow
item_0193,childrens,misleading,0.922,0.975,0.131,0.371,0.484,new,allow
item_0194,cooking,safe,0.631,0.248,0.097,0.29,0.217,established,allow
item_0195,news,safe,0.958,0.721,0.19,0.159,0.303,established,allow
item_0196,cooking,safe,0.544,0.393,0.457,0.241,0.424,new,allow
item_0197,cooking,misleading,0.793,0.843,0.673,0.286,0.07,verified,escalate
item_0198,gaming,violence,0.856,0.764,0.366,0.401,0.321,established,remove
item_0199,cooking,spam,0.747,0.764,0.28,0.989,0.318,new,allow
